id,name,type,category,power,accuracy,pp
115,Reflect,Psychic,Status,0,0,20
116,Focus Energy,Normal,Status,0,0,30
117,Bide,Normal,Physical,0,0,10
118,Metronome,Normal,Status,0,0,10
119,Mirror Move,Flying,Status,0,0,20
120,Selfdestruct,Normal,Physical,200,100,5
121,Egg Bomb,Normal,Physical,100,75,10
122,Lick,Ghost,Physical,30,100,30
123,Smog,Poison,Special,30,70,20
124,Sludge,Poison,Special,65,100,20
125,Bone Club,Ground,Physical,65,85,20
126,Fire Blast,Fire,Special,110,85,5
127,Waterfall,Water,Physical,80,100,15
128,Clamp,Water,Physical,35,85,15
129,Swift,Normal,Special,60,0,20
130,Skull Bash,Normal,Physical,130,100,10
131,Spike Cannon,Normal,Physical,20,100,15
132,Constrict,Normal,Physical,10,100,35
133,Amnesia,Psychic,Status,0,0,20
134,Kinesis,Psychic,Status,0,80,15
135,Soft-Boiled,Normal,Status,0,0,10
136,Hi Jump Kick,Fighting,Physical,130,90,10
137,Glare,Normal,Status,0,100,30
138,Dream Eater,Psychic,Special,100,100,15
139,Poison Gas,Poison,Status,0,90,40
140,Barrage,Normal,Physical,15,85,20
141,Leech Life,Bug,Physical,80,100,10
142,Lovely Kiss,Normal,Status,0,75,10
143,Sky Attack,Flying,Physical,140,90,5
144,Transform,Normal,Status,0,0,10
145,Bubble,Water,Special,40,100,30
146,Dizzy Punch,Normal,Physical,70,100,10
147,Spore,Grass,Status,0,100,15
148,Flash,Normal,Status,0,100,20
149,Psywave,Psychic,Special,0,100,15
150,Splash,Water,Status,0,0,40
151,Acid Armor,Poison,Status,0,0,40
152,Crabhammer,Water,Physical,100,90,10
153,Explosion,Normal,Physical,250,100,5
154,Fury Swipes,Normal,Physical,18,80,15
155,Bonemerang,Ground,Physical,50,90,10
156,Rest,Psychic,Status,0,0,10
157,Rock Slide,Rock,Physical,75,90,10
158,Hyper Fang,Normal,Physical,80,90,15
159,Sharpen,Normal,Status,0,0,30
160,Conversion,Normal,Status,0,0,30
161,Tri Attack,Normal,Special,80,100,10
162,Super Fang,Normal,Physical,0,90,10
163,Slash,Normal,Physical,70,100,20
164,Substitute,Normal,Status,0,0,10
165,Struggle,Normal,Physical,50,0,1
