id,name,type1,type2,rarity,hp,attack,defense,sp_atk,sp_def,speed
74,Geodude,Rock,Ground,1,40,80,100,30,30,20
75,Graveler,Rock,Ground,2,55,95,115,45,45,35
76,Golem,Rock,Ground,3,80,120,130,55,65,45
77,Ponyta,Fire,,2,50,85,55,65,65,90
78,Rapidash,Fire,,3,65,100,70,80,80,105
79,Slowpoke,Water,Psychic,2,90,65,65,40,40,15
80,Slowbro,Water,Psychic,3,95,75,110,100,80,30
81,Magnemite,Electric,Steel,2,25,35,70,95,55,45
82,Magneton,Electric,Steel,3,50,60,95,120,70,70
83,Farfetchd,Normal,Flying,4,52,90,55,58,62,60
84,Doduo,Normal,Flying,2,35,85,45,35,35,75
85,Dodrio,Normal,Flying,3,60,110,70,60,60,110
86,Seel,Water,,2,65,45,55,45,70,45
87,Dewgong,Water,Ice,3,90,70,80,70,95,70
88,Grimer,Poison,,2,80,80,50,40,50,25
89,Muk,Poison,,3,105,105,75,65,100,50
90,Shellder,Water,,2,30,65,100,45,25,40
91,Cloyster,Water,Ice,3,50,95,180,85,45,70
92,Gastly,Ghost,Poison,2,30,35,30,100,35,80
93,Haunter,Ghost,Poison,3,45,50,45,115,55,95
94,Gengar,Ghost,Poison,4,60,65,60,130,75,110
95,Onix,Rock,Ground,2,35,45,160,30,45,70
96,Drowzee,Psychic,,1,60,48,45,43,90,42
97,Hypno,Psychic,,3,85,73,70,73,115,67
98,Krabby,Water,,2,30,105,90,25,25,50
99,Kingler,Water,,3,55,130,115,50,50,75
100,Voltorb,Electric,,2,40,30,50,55,55,100
101,Electrode,Electric,,3,60,50,70,80,80,150
102,Exeggcute,Grass,Psychic,2,60,40,80,60,45,40
103,Exeggutor,Grass,Psychic,3,95,95,85,125,75,55
104,Cubone,Ground,,2,50,50,95,40,50,35
105,Marowak,Ground,,3,60,80,110,50,80,45
106,Hitmonlee,Fighting,,3,50,120,53,35,110,87
107,Hitmonchan,Fighting,,3,50,105,79,35,110,76
108,Lickitung,Normal,,3,90,55,75,60,75,30
109,Koffing,Poison,,2,40,65,95,60,45,35
110,Weezing,Poison,,3,65,90,120,85,70,60
111,Rhyhorn,Ground,Rock,2,80,85,95,30,30,25
112,Rhydon,Ground,Rock,3,105,130,120,45,45,40
113,Chansey,Normal,,4,250,5,5,35,105,50
114,Tangela,Grass,,3,65,55,115,100,40,60
115,Kangaskhan,Normal,,4,105,95,80,40,80,90
116,Horsea,Water,,2,30,40,70,70,25,60
117,Seadra,Water,,3,55,65,95,95,45,85
118,Goldeen,Water,,1,45,67,60,35,50,63
119,Seaking,Water,,2,80,92,65,65,80,68
120,Staryu,Water,,3,30,45,55,70,55,85
121,Starmie,Water,Psychic,3,60,75,85,100,85,115
122,Mr. Mime,Psychic,Fairy,4,40,45,65,100,120,90
123,Scyther,Bug,Flying,4,70,110,80,55,80,105
124,Jynx,Ice,Psychic,3,65,50,35,115,95,95
125,Electabuzz,Electric,,3,65,83,57,95,85,105
126,Magmar,Fire,,3,65,95,57,100,85,93
127,Pinsir,Bug,,4,65,125,100,55,70,85
128,Tauros,Normal,,4,75,100,95,40,70,110
129,Magikarp,Water,,1,20,10,55,15,20,80
130,Gyarados,Water,Flying,4,95,125,79,60,100,81
131,Lapras,Water,Ice,4,130,85,80,85,95,60
132,Ditto,Normal,,4,48,48,48,48,48,48
133,Eevee,Normal,,3,55,55,50,45,65,55
134,Vaporeon,Water,,3,130,65,60,110,95,65
135,Jolteon,Electric,,3,65,65,60,110,95,130
136,Flareon,Fire,,3,65,130,60,95,110,65
137,Porygon,Normal,,4,65,60,70,85,75,40
138,Omanyte,Rock,Water,4,35,40,100,90,55,35
139,Omastar,Rock,Water,4,70,60,125,115,70,55
140,Kabuto,Rock,Water,4,30,80,90,55,45,55
141,Kabutops,Rock,Water,4,60,115,105,65,70,80
142,Aerodactyl,Rock,Flying,4,80,105,65,60,75,130
143,Snorlax,Normal,,5,160,110,65,65,110,30
144,Articuno,Ice,Flying,5,90,85,100,95,125,85
145,Zapdos,Electric,Flying,5,90,90,85,125,90,100
146,Moltres,Fire,Flying,5,90,100,90,125,85,90
147,Dratini,Dragon,,4,41,64,45,50,50,50
148,Dragonair,Dragon,,4,61,84,65,70,70,70
149,Dragonite,Dragon,Flying,5,91,134,95,100,100,80
150,Mewtwo,Psychic,,5,106,110,90,154,90,130
151,Mew,Psychic,,5,100,100,100,100,100,100
